"Path","Root","Extension","SizeBytes","IsText","Lines"
"assets\images\vehicles\iconvehicles\autoicon.png","assets",".png","2193414","False","0"
"assets\images\vehicles\iconvehicles\motoicon.png","assets",".png","2193285","False","0"
"assets\images\vehicles\iconvehicles\mototaxiicon.png","assets",".png","738295","False","0"
"assets\images\vehicles\iconvehicles\taxiicon.png","assets",".png","2263012","False","0"
"assets\legal\legal_content.json","assets",".json","117468","True","935"
"assets\sounds\AGREGAR_SONIDO_AQUI.md","assets",".md","1651","True","40"
"assets\sounds\beep.txt","assets",".txt","44","True","1"
"assets\sounds\beep.wav","assets",".wav","56026","False","0"
"assets\sounds\create_beep.ps1","assets",".ps1","180","True","5"
"assets\sounds\didi_notification.wav","assets",".wav","105884","False","0"
"assets\sounds\README.md","assets",".md","2668","True","57"
"assets\sounds\request_notification.ogg","assets",".ogg","4357992","False","0"
"assets\sounds\request_notification.wav","assets",".wav","670852","False","0"
"assets\sounds\request_notification_backup.wav","assets",".wav","56026","False","0"
"assets\sounds\music\System Of A Down - Lonely Day (Official HD Video) - systemofadownVEVO.mp3","assets",".mp3","6842054","False","0"
"assets\sounds\notificacion\notification.mp3","assets",".mp3","21751","False","0"
"backend\.env.example","backend",".example","284","True","12"
"backend\.env.security","backend",".security","875","False","0"
"backend\.gitignore","backend",".gitignore","2672","True","122"
"backend\.htaccess","backend",".htaccess","490","False","0"
"backend\composer.json","backend",".json","319","True","14"
"backend\composer.lock","backend",".lock","23396","True","644"
"backend\deploy.sh","backend",".sh","5598","True","135"
"backend\get_api_keys.php","backend",".php","3474","True","83"
"backend\health.php","backend",".php","559","True","20"
"backend\index.php","backend",".php","4397","True","87"
"backend\nixpacks.toml","backend",".toml","366","False","0"
"backend\r2_proxy.php","backend",".php","648","True","23"
"backend\railway.json","backend",".json","257","True","12"
"backend\README.md","backend",".md","2282","True","61"
"backend\test_db.php","backend",".php","232","True","5"
"backend\test_pagos.php","backend",".php","405","True","12"
"backend\_test_security_temp.php","backend",".php","2396","True","53"
"backend\account\delete-request.php","backend",".php","7575","True","134"
"backend\account\reactivate.php","backend",".php","2455","True","54"
"backend\admin\app_config.php","backend",".php","4912","True","122"
"backend\admin\aprobar_conductor.php","backend",".php","6061","True","142"
"backend\admin\audit_logs.php","backend",".php","3935","True","116"
"backend\admin\bank_config.php","backend",".php","5840","True","135"
"backend\admin\dashboard_stats.php","backend",".php","6088","True","140"
"backend\admin\emisor_profile.php","backend",".php","6788","True","148"
"backend\admin\empresas.php","backend",".php","46048","True","1209"
"backend\admin\empresas_deudoras.php","backend",".php","3614","True","90"
"backend\admin\empresa_payment_reports.php","backend",".php","23171","True","437"
"backend\admin\facturas.php","backend",".php","4870","True","123"
"backend\admin\generate_invoice_pdf.php","backend",".php","19332","True","384"
"backend\admin\get_conductores_documentos.php","backend",".php","13016","True","268"
"backend\admin\get_documentos_historial.php","backend",".php","4091","True","99"
"backend\admin\get_pricing_configs.php","backend",".php","4584","True","114"
"backend\admin\platform_earnings.php","backend",".php","8045","True","187"
"backend\admin\rechazar_conductor.php","backend",".php","4963","True","120"
"backend\admin\registrar_pago_comision.php","backend",".php","5388","True","119"
"backend\admin\registrar_pago_empresa.php","backend",".php","3851","True","101"
"backend\admin\update_empresa_commission.php","backend",".php","4775","True","130"
"backend\admin\update_pricing_config.php","backend",".php","9026","True","265"
"backend\admin\user_management.php","backend",".php","11988","True","285"
"backend\assets\images\logo.png","backend",".png","292605","False","0"
"backend\auth\change_password.php","backend",".php","7927","True","189"
"backend\auth\check_device.php","backend",".php","5880","True","138"
"backend\auth\check_user.php","backend",".php","2573","True","79"
"backend\auth\email_service.php","backend",".php","1182","True","25"
"backend\auth\login.php","backend",".php","7535","True","146"
"backend\auth\profile.php","backend",".php","1696","True","35"
"backend\auth\profile_update.php","backend",".php","3470","True","82"
"backend\auth\register.php","backend",".php","6765","True","150"
"backend\auth\session_key.php","backend",".php","5301","True","129"
"backend\auth\update_phone.php","backend",".php","3683","True","101"
"backend\auth\update_profile.php","backend",".php","7626","True","188"
"backend\auth\verify_code.php","backend",".php","5197","True","103"
"backend\auth\google\callback.php","backend",".php","12731","True","312"
"backend\auth\google\client_config.php","backend",".php","1100","True","30"
"backend\auth\services\AuthService.php","backend",".php","4861","True","150"
"backend\chat\get_messages.php","backend",".php","4603","True","139"
"backend\chat\get_unread_count.php","backend",".php","2738","True","83"
"backend\chat\mark_as_read.php","backend",".php","2490","True","76"
"backend\chat\send_message.php","backend",".php","5813","True","164"
"backend\chat\stream_messages.php","backend",".php","5840","True","168"
"backend\company\colombia_banks.php","backend",".php","3521","True","85"
"backend\company\conductores_documentos.php","backend",".php","49520","True","981"
"backend\company\dashboard_stats.php","backend",".php","11417","True","223"
"backend\company\debt_payment_reports.php","backend",".php","17497","True","378"
"backend\company\drivers.php","backend",".php","2297","True","73"
"backend\company\get_balance.php","backend",".php","3188","True","91"
"backend\company\get_conductor_transactions.php","backend",".php","6787","True","166"
"backend\company\get_debtors.php","backend",".php","6111","True","145"
"backend\company\platform_debt_context.php","backend",".php","8974","True","160"
"backend\company\pricing.php","backend",".php","17759","True","372"
"backend\company\reports.php","backend",".php","34551","True","831"
"backend\company\reports_pdf.php","backend",".php","9325","True","200"
"backend\company\report_platform_payment.php","backend",".php","8456","True","176"
"backend\company\vehicles.php","backend",".php","21818","True","527"
